,date,state,AverageDailyTemperature,AverageRelativeHumidity,JHU_ConfirmedCases,JHU_ConfirmedDeaths,JHU_DailyCases,JHU_DailyDeaths
0,2020-01-01,Alabama,44.541666666666664,59.041666666666664,0.0,0.0,0.0,0.0
1,2020-01-01,Alaska,-7.486111111111112,79.11041666666667,0.0,0.0,0.0,0.0
2,2020-01-01,Arizona,35.59375,66.17708333333333,0.0,0.0,0.0,0.0
3,2020-01-01,Arkansas,42.09722222222222,61.208333333333336,0.0,0.0,0.0,0.0
4,2020-01-01,California,47.74722222222223,80.91250000000001,0.0,0.0,0.0,0.0
5,2020-01-01,Colorado,28.760416666666668,58.442708333333336,0.0,0.0,0.0,0.0
6,2020-01-01,Connecticut,36.458333333333336,56.958333333333336,0.0,0.0,0.0,0.0
7,2020-01-01,Delaware,40.791666666666664,54.0,0.0,0.0,0.0,0.0
8,2020-01-01,Florida,52.90625,69.22916666666667,0.0,0.0,0.0,0.0
9,2020-01-01,NewYork,28.791666666666668,86.60416666666667,0.0,0.0,0.0,0.0
10,2020-01-02,Alabama,52.96334325396825,91.07271825396826,0.0,0.0,0.0,0.0
11,2020-01-02,Alaska,-9.833333333333334,80.54166666666667,0.0,0.0,0.0,0.0
12,2020-01-02,Arizona,38.385416666666664,46.463541666666664,0.0,0.0,0.0,0.0
13,2020-01-02,Arkansas,49.125,88.74305555555556,0.0,0.0,0.0,0.0
14,2020-01-02,California,44.768750000000004,92.27430555555554,0.0,0.0,0.0,0.0
15,2020-01-02,Colorado,22.364583333333332,58.552083333333336,0.0,0.0,0.0,0.0
16,2020-01-02,Connecticut,37.291666666666664,65.47916666666667,0.0,0.0,0.0,0.0
17,2020-01-02,Delaware,42.208333333333336,65.08333333333333,0.0,0.0,0.0,0.0
18,2020-01-02,Florida,62.510416666666664,76.20833333333333,0.0,0.0,0.0,0.0
19,2020-01-02,NewYork,31.46875,81.08333333333333,0.0,0.0,0.0,0.0
20,2020-01-03,Alabama,59.73263888888889,95.875,0.0,0.0,0.0,0.0
21,2020-01-03,Alaska,-11.583333333333334,80.20833333333333,0.0,0.0,0.0,0.0
22,2020-01-03,Arizona,41.578125,37.020833333333336,0.0,0.0,0.0,0.0
23,2020-01-03,Arkansas,54.71527777777777,88.22916666666667,0.0,0.0,0.0,0.0
24,2020-01-03,California,48.357638888888886,81.90625,0.0,0.0,0.0,0.0
25,2020-01-03,Colorado,24.359375,49.5,0.0,0.0,0.0,0.0
26,2020-01-03,Connecticut,43.333333333333336,86.41666666666667,0.0,0.0,0.0,0.0
27,2020-01-03,Delaware,49.05947293447294,91.25763888888889,0.0,0.0,0.0,0.0
28,2020-01-03,Florida,73.69270833333333,82.1875,0.0,0.0,0.0,0.0
29,2020-01-03,NewYork,37.760416666666664,96.38541666666667,0.0,0.0,0.0,0.0
30,2020-01-04,Alabama,49.920138888888886,69.95833333333333,0.0,0.0,0.0,0.0
31,2020-01-04,Alaska,-14.479166666666666,77.33333333333333,0.0,0.0,0.0,0.0
32,2020-01-04,Arizona,43.677083333333336,44.25,0.0,0.0,0.0,0.0
33,2020-01-04,Arkansas,44.5625,56.145833333333336,0.0,0.0,0.0,0.0
34,2020-01-04,California,48.885416666666664,80.69097222222223,0.0,0.0,0.0,0.0
35,2020-01-04,Colorado,33.770833333333336,40.520833333333336,0.0,0.0,0.0,0.0
36,2020-01-04,Connecticut,42.8125,94.17708333333333,0.0,0.0,0.0,0.0
37,2020-01-04,Delaware,51.9052398989899,97.97916666666667,0.0,0.0,0.0,0.0
38,2020-01-04,Florida,67.89583333333333,79.05208333333333,0.0,0.0,0.0,0.0
39,2020-01-04,NewYork,34.833333333333336,100.0,0.0,0.0,0.0,0.0
40,2020-01-05,Alabama,41.708333333333336,69.70833333333333,0.0,0.0,0.0,0.0
41,2020-01-05,Alaska,-16.729166666666668,78.47916666666667,0.0,0.0,0.0,0.0
42,2020-01-05,Arizona,44.072916666666664,44.145833333333336,0.0,0.0,0.0,0.0
43,2020-01-05,Arkansas,44.708333333333336,67.5,0.0,0.0,0.0,0.0
44,2020-01-05,California,47.18591269841269,84.16547619047618,0.0,0.0,0.0,0.0
